0	     876
864	     908
1780	 840
2624	 800
3420	 832
4256	 888
5144	 848
5992	 812
6804	 840
7640	 880
8520	 908
9432	 832
10264	 760
11024	 768
11792	 856
12648	 868
13516	 820
14336	 832
15164	 928
16096	 948
17040	 880
17920	 820
18744	 880
19616	 860
20480	 748
21232	 736
21956	 784
22752	 788
23532	 828
24356	 836
25204	 900
26100	 912
27000	 904
27908	 828
28748	 796
29540	 820
30356	 908
31272	 912
32184	 836
33000	 812
33832	 804
34632	 880
35512	 956
36468	 928
37400	 868
38268	 836
39104	 780
39872	 776
40656	 836
41488	1028
42524	 976
43500	 912
44412	 864
45272	 836
46104	 864
46968	 928
47888	 984
48884	 968
49840	 924
50768	 876
51648	 804
52452	 784
53232	 864
54108	 896
55004	 964
55964	 992
56952	 948
57908	 892
58800	 812
59612	 808
60416	 828
61244	 884
62128	 980
63112	 988
64100	 932
65032	 892
65924	 952
66868	 868
67748	 820
68564	 828
69388	 852
70244	 944
71184	1000
72188	 988
73160	 948
74124	 860
74984	 844
75828	 852
76680	 868
77548	 924
78452	 984
79456	1000
80456	 952
81404	 916
82320	 912
83236	 904
84140	 884
85020	 948
85972	 972
86944	 892
87840	 892
88724	 988
89716	1020
90736	 964
91696	 928
92624	 868
93496	 844
94340	 860
95200	 888
96080	 964
97044	 956
98004	 968
98964	 928
99900	 840
100736	 828
101572	 868
102436	 984
103424	 952
104376	 988
105356	 956
106316	 884
107188	 840
108044	 884
108916	 964
109892	 984
110876	 928
111796	 908
112712	 860
113572	 804
114376	 804
115168	 916
116092	 936
117024	 936
117968	 872
118840	 816
119644	 792
120436	 832
121280	 916
122196	 916
123112	 904
124016	 872
124888	 820
125700	 828
126536	1032
127564	 992
128560	 932
129492	 848
130340	 824
131164	 868
132032	 932
132960	 920
133884	 796
134680	 740
135412	 716
136136	 704
136840	 772
137604	 816
138424	 796
139224	 820
140040	 828
140872	 932
141796	 968
142772	 928
143700	 848
144536	 780
145316	 804
146132	 904
147032	 956
147988	 840
148832	 840
149672	 964
150636	1016
151652	 968
152620	 856
153476	 816
154292	 880
155156	 940
156112	 940
157052	 884
157924	 820
158756	 824
159580	 888
160468	 968
161436	 948
162384	 924
163304	 832
164140	 828
164964	 904
165872	 956
166828	 856
167680	 812
168496	 916
169408	 900
170312	 800
171100	 776
171888	 804
172676	 912
173604	 884
174472	 812
175296	 784
176084	 820
176900	 880
177772	 888
178668	 872
179544	 820
180364	 772
181128	 780
181916	 816
182720	 888
183620	 904
184512	 860
185380	 804
186188	 812
187000	 880
187880	 888
188768	 828
189596	 796
190392	 808
191188	 860
192060	 888
192944	 868
193816	 808
194624	 764
195388	 776
196160	 860
197020	 916
197940	 872
198804	 832
199644	 812
200452	 828
201272	 912
202196	 884
203080	 832
203912	 784
204684	 824
205520	 904
206420	 952
207360	 916
208292	 856
209148	 828
209972	 800
210776	 820
211596	 896
212492	 944
213432	1000
214424	 980
215404	 952
216368	 860
217228	 852
218080	 804
218880	 788
219672	 892
220560	1024
221576	 988
222568	 940
223516	 856
224372	 832
225200	 932
226132	1004
227136	1004
228144	 924
229068	 848
229912	 932
230848	 960
231808	 880
232688	 824
233508	 868
234368	 924
235304	 860
236164	 796
236960	 832
237792	 908
238696	 856
239544	 788
240344	 780
241120	 744
241860	 724
242592	 760
243352	 804
244156	 788
244940	 772
245712	 796
246512	 888
247396	 876
248264	 812
249088	 760
249844	 784
250628	 856
251488	 880
252368	 852
253220	 860
254080	 948
255028	 944
255976	 864
256824	 856
257692	 916
258608	 880
259488	 816
260300	 848
261152	 916
262064	 888
262956	 832
263788	 852
264632	 900
265540	 880
266420	 804
267224	 804
268016	 904
268920	 880
269808	 816
270624	 832
271460	 896
272356	 860
273220	 784
274000	 796
274796	 836
275632	 852
276480	 772
277256	 768
278020	 812
278836	 864
279700	 828
280528	 820
281336	 832
282180	 804
282968	 784
283768	 836
284604	 908
285500	 860
286356	 780
287152	 784
287932	 796
288732	 792
289512	 748
290272	 784
291040	 928
291980	 928
292912	 860
293772	 832
294592	 828
295432	 876
296308	 812
297120	 824
297932	 904
298840	 928
299772	 836
300596	 828
301428	 776
302216	 732
302948	 768
303712	 748
304464	 792
305256	 956
306212	 896
307108	 824
307932	 848
308776	 868
309648	 788
310436	 760
311188	 800
311992	 868
312860	 864
313728	 824
314552	 828
315380	 828
316208	 788
316996	 784
317780	 820
318588	 860
319464	 828
320288	 832
321112	 820
321936	 816
322756	 788
323544	 760
324300	 740
325044	 740
325784	 728
326512	 704
327220	 716
327920	 716
328648	 732
329380	 712
330080	 716
330804	 704
331508	 700
332204	 708
332908	 692
333612	 660
334252	 636
334908	 640
335548	 660
336208	 716
336916	 752
337676	 708
338380	 672
339056	 664
339716	 680
340400	 688
341088	 724
341812	 756
342552	 744
343320	 728
344024	 724
344760	 720
345484	 704
346180	 684
346848	 668
347544	 660
348200	 652
348848	 652
349508	 636
350144	 632
350772	 640
351416	 652
352064	 672
352736	 688
353424	 700
354116	 688
